Tile RAmin RAmax DECmin DECmax
KIDS_187p5_m4p5 187.019498607 188.022284122 -4.950535 -3.961535
KIDS_188p5_m4p5 188.022284122 189.025069638 -4.950535 -3.961535
KIDS_189p5_m4p5 189.025069638 190.027855154 -4.950535 -3.961535
KIDS_190p5_m4p5 190.027855154 191.030640668 -4.950535 -3.961535
KIDS_191p5_m4p5 191.030640668 192.033426184 -4.950535 -3.961535
KIDS_192p5_m4p5 192.033426184 193.0362117 -4.950535 -3.961535
KIDS_193p5_m4p5 193.0362117 194.038997215 -4.950535 -3.961535
KIDS_194p5_m4p5 194.038997215 195.041782729 -4.950535 -3.961535
KIDS_195p5_m4p5 195.041782729 196.044568245 -4.950535 -3.961535
KIDS_196p5_m4p5 196.044568245 197.047353761 -4.950535 -3.961535
KIDS_197p5_m4p5 197.047353761 198.050139275 -4.950535 -3.961535
KIDS_198p6_m4p5 198.050139275 199.052924791 -4.950535 -3.961535
KIDS_199p6_m4p5 199.052924791 200.055710307 -4.950535 -3.961535
KIDS_200p6_m4p5 200.055710307 201.058495822 -4.950535 -3.961535
KIDS_201p6_m4p5 201.058495822 202.061281337 -4.950535 -3.961535
KIDS_202p6_m4p5 202.061281337 203.064066852 -4.950535 -3.961535
KIDS_203p6_m4p5 203.064066852 204.066852367 -4.950535 -3.961535
KIDS_204p6_m4p5 204.066852367 205.069637883 -4.950535 -3.961535
KIDS_205p6_m4p5 205.069637883 206.072423399 -4.950535 -3.961535
KIDS_206p6_m4p5 206.072423399 207.075208914 -4.950535 -3.961535
KIDS_207p6_m4p5 207.075208914 208.077994429 -4.950535 -3.961535
KIDS_208p6_m4p5 208.077994429 209.080779944 -4.950535 -3.961535
KIDS_209p6_m4p5 209.080779944 210.083565459 -4.950535 -3.961535
KIDS_210p6_m4p5 210.083565459 211.086350975 -4.950535 -3.961535
KIDS_211p6_m4p5 211.086350975 212.089136491 -4.950535 -3.961535
KIDS_212p6_m4p5 212.089136491 213.091922006 -4.950535 -3.961535
KIDS_213p6_m4p5 213.091922006 214.094707521 -4.950535 -3.961535
KIDS_214p6_m4p5 214.094707521 215.097493036 -4.950535 -3.961535
KIDS_215p6_m4p5 215.097493036 216.100278551 -4.950535 -3.961535
KIDS_216p6_m4p5 216.100278551 217.103064067 -4.950535 -3.961535
KIDS_217p6_m4p5 217.103064067 218.105849583 -4.950535 -3.961535
KIDS_218p6_m4p5 218.105849583 219.108635097 -4.950535 -3.961535
KIDS_219p6_m4p5 219.108635097 220.111420613 -4.950535 -3.961535
KIDS_220p6_m4p5 220.111420613 221.114206128 -4.950535 -3.961535
KIDS_221p6_m4p5 221.114206128 222.116991644 -4.950535 -3.961535
KIDS_222p6_m4p5 222.116991644 223.119777158 -4.950535 -3.961535
KIDS_223p6_m4p5 223.119777158 224.122562674 -4.950535 -3.961535
KIDS_224p6_m4p5 224.122562674 225.135501712 -4.950535 -3.961535
KIDS_156p4_m3p5 155.923605259 156.935933148 -3.961535 -2.972525
KIDS_157p4_m3p5 156.935933148 157.938718663 -3.961535 -2.972525
KIDS_158p4_m3p5 157.938718663 158.941504178 -3.961535 -2.972525
KIDS_159p4_m3p5 158.941504178 159.944289694 -3.961535 -2.972525
KIDS_160p4_m3p5 159.944289694 160.947075209 -3.961535 -2.972525
KIDS_161p4_m3p5 160.947075209 161.949860725 -3.961535 -2.972525
KIDS_162p5_m3p5 161.949860725 162.952646239 -3.961535 -2.972525
KIDS_163p5_m3p5 162.952646239 163.955431755 -3.961535 -2.972525
KIDS_164p5_m3p5 163.955431755 164.958217271 -3.961535 -2.972525
KIDS_165p5_m3p5 164.958217271 165.961002785 -3.961535 -2.972525
KIDS_166p5_m3p5 165.961002785 166.9637883 -3.961535 -2.972525
KIDS_167p5_m3p5 166.9637883 167.966573816 -3.961535 -2.972525
KIDS_168p5_m3p5 167.966573816 168.969359332 -3.961535 -2.972525
KIDS_169p5_m3p5 168.969359332 169.972144846 -3.961535 -2.972525
KIDS_170p5_m3p5 169.972144846 170.974930362 -3.961535 -2.972525
KIDS_171p5_m3p5 170.974930362 171.977715877 -3.961535 -2.972525
KIDS_172p5_m3p5 171.977715877 172.980501393 -3.961535 -2.972525
KIDS_173p5_m3p5 172.980501393 173.983286908 -3.961535 -2.972525
KIDS_174p5_m3p5 173.983286908 174.986072423 -3.961535 -2.972525
KIDS_175p5_m3p5 174.986072423 175.988857939 -3.961535 -2.972525
KIDS_176p5_m3p5 175.988857939 176.991643454 -3.961535 -2.972525
KIDS_177p5_m3p5 176.991643454 177.99442897 -3.961535 -2.972525
KIDS_178p5_m3p5 177.99442897 178.997214484 -3.961535 -2.972525
KIDS_179p5_m3p5 178.997214484 180 -3.961535 -2.972525
KIDS_180p5_m3p5 180 181.002785516 -3.961535 -2.972525
KIDS_181p5_m3p5 181.002785516 182.00557103 -3.961535 -2.972525
KIDS_182p5_m3p5 182.00557103 183.008356546 -3.961535 -2.972525
KIDS_183p5_m3p5 183.008356546 184.011142061 -3.961535 -2.972525
KIDS_184p5_m3p5 184.011142061 185.013927577 -3.961535 -2.972525
KIDS_185p5_m3p5 185.013927577 186.016713092 -3.961535 -2.972525
KIDS_186p5_m3p5 186.016713092 187.019498607 -3.961535 -2.972525
KIDS_187p5_m3p5 187.019498607 188.022284123 -3.961535 -2.972525
KIDS_188p5_m3p5 188.022284123 189.025069638 -3.961535 -2.972525
KIDS_189p5_m3p5 189.025069638 190.027855154 -3.961535 -2.972525
KIDS_190p5_m3p5 190.027855154 191.030640668 -3.961535 -2.972525
KIDS_191p5_m3p5 191.030640668 192.033426184 -3.961535 -2.972525
KIDS_192p5_m3p5 192.033426184 193.0362117 -3.961535 -2.972525
KIDS_193p5_m3p5 193.0362117 194.038997215 -3.961535 -2.972525
KIDS_194p5_m3p5 194.038997215 195.041782729 -3.961535 -2.972525
KIDS_195p5_m3p5 195.041782729 196.044568245 -3.961535 -2.972525
KIDS_196p5_m3p5 196.044568245 197.047353761 -3.961535 -2.972525
KIDS_197p5_m3p5 197.047353761 198.050139275 -3.961535 -2.972525
KIDS_198p6_m3p5 198.050139275 199.052924791 -3.961535 -2.972525
KIDS_199p6_m3p5 199.052924791 200.055710306 -3.961535 -2.972525
KIDS_200p6_m3p5 200.055710306 201.058495822 -3.961535 -2.972525
KIDS_201p6_m3p5 201.058495822 202.061281337 -3.961535 -2.972525
KIDS_202p6_m3p5 202.061281337 203.064066852 -3.961535 -2.972525
KIDS_203p6_m3p5 203.064066852 204.066852368 -3.961535 -2.972525
KIDS_204p6_m3p5 204.066852368 205.069637883 -3.961535 -2.972525
KIDS_205p6_m3p5 205.069637883 206.072423399 -3.961535 -2.972525
KIDS_206p6_m3p5 206.072423399 207.075208913 -3.961535 -2.972525
KIDS_207p6_m3p5 207.075208913 208.077994429 -3.961535 -2.972525
KIDS_208p6_m3p5 208.077994429 209.080779945 -3.961535 -2.972525
KIDS_209p6_m3p5 209.080779945 210.083565459 -3.961535 -2.972525
KIDS_210p6_m3p5 210.083565459 211.086350975 -3.961535 -2.972525
KIDS_211p6_m3p5 211.086350975 212.08913649 -3.961535 -2.972525
KIDS_212p6_m3p5 212.08913649 213.091922006 -3.961535 -2.972525
KIDS_213p6_m3p5 213.091922006 214.094707521 -3.961535 -2.972525
KIDS_214p6_m3p5 214.094707521 215.097493036 -3.961535 -2.972525
KIDS_215p6_m3p5 215.097493036 216.100278552 -3.961535 -2.972525
KIDS_216p6_m3p5 216.100278552 217.103064067 -3.961535 -2.972525
KIDS_217p6_m3p5 217.103064067 218.105849583 -3.961535 -2.972525
KIDS_218p6_m3p5 218.105849583 219.108635097 -3.961535 -2.972525
KIDS_219p6_m3p5 219.108635097 220.111420613 -3.961535 -2.972525
KIDS_222p6_m3p5 222.116991644 223.119777158 -3.961535 -2.972525
KIDS_223p6_m3p5 223.119777158 224.122562674 -3.961535 -2.972525
KIDS_224p6_m3p5 224.122562674 225.134890563 -3.961535 -2.972525
KIDS_156p4_m2p5 155.924063034 156.935933148 -2.972525 -1.983515
KIDS_160p4_m2p5 159.944289693 160.947075209 -2.972525 -1.983515
KIDS_162p5_m2p5 161.949860725 162.952646239 -2.972525 -1.983515
KIDS_163p5_m2p5 162.952646239 163.955431755 -2.972525 -1.983515
KIDS_164p5_m2p5 163.955431755 164.958217271 -2.972525 -1.983515
KIDS_165p5_m2p5 164.958217271 165.961002785 -2.972525 -1.983515
KIDS_166p5_m2p5 165.961002785 166.9637883 -2.972525 -1.983515
KIDS_188p5_m2p5 188.022284122 189.025069638 -2.972525 -1.983515
KIDS_189p5_m2p5 189.025069638 190.027855154 -2.972525 -1.983515
KIDS_190p5_m2p5 190.027855154 191.030640668 -2.972525 -1.983515
KIDS_191p5_m2p5 191.030640668 192.033426184 -2.972525 -1.983515
KIDS_192p5_m2p5 192.033426184 193.0362117 -2.972525 -1.983515
KIDS_193p5_m2p5 193.0362117 194.038997215 -2.972525 -1.983515
